Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	2404.71526255	247.13381492	2058.11154925	2680.0288981	-408.370542773	33.8735711048	-453.538272344	-330.619944228
1	821.002737753	136.246855999	531.943337216	992.244988129	-304.954577551	18.6752464883	-341.713909924	-280.698511375
2	521.256355302	111.521336692	311.902961623	677.474234996	-273.620657294	31.1663658684	-307.534617949	-190.376725152
3	266.015776884	46.81822125	187.807839702	343.384496253	-244.167702029	13.3063017287	-269.320902131	-221.684443094
4	407.811779287	92.0306293236	240.199347045	529.328817007	-241.465467339	28.7973377494	-309.767505104	-209.335164494
5	325.394774395	74.2495845484	202.080346539	438.379334194	-200.915743709	29.3341796882	-251.454756296	-161.527930593
6	269.809764272	82.4870945896	164.729148148	460.787087298	-171.991568021	30.6362506553	-234.373921547	-139.414573299
7	195.626701358	63.7502530877	112.657336052	288.193133698	-144.884057941	18.9208323952	-174.442671928	-114.535465942
8	204.908024564	71.3603981815	94.4269687877	303.623005159	-119.479210831	14.6974933016	-144.163695979	-94.2158095343
9	196.107605078	72.4385808442	50.6631235555	293.455925786	-74.2710741744	23.5293432153	-118.349476134	-29.9897995564
10	88.3742216756	63.7435997296	-38.8714490129	177.753549032	-15.9991288037	26.9224910652	-62.8654654007	22.6290300462
11	78.1315857132	57.8233305185	3.76642241955	187.348351021	-3.59465124875	35.1017439671	-53.6968549925	55.519043528
12	37.8149423433	63.5245017556	-51.0498208563	142.92290319	10.8011520342	26.6484141597	-23.1046621008	68.5593533394
13	-64.2883573307	30.0715730749	-113.422169192	-12.4829896714	123.046205766	27.2057071828	88.3069866208	170.168873425
14	-84.4488314691	88.3535869094	-244.237431285	20.9707874566	131.999813251	40.9333011225	83.4207714909	216.084417566
